file_name,url,year
1499063.json,https://thanhnien.vn/hanh-trinh-cuoi-cung-cua-nu-hoang-elizabeth-ii-post1499063.html,2022
1499060.json,https://thanhnien.vn/ukraine-trong-hanh-trinh-phan-cong-dot-pha-post1499060.html,2022
1499285.json,https://thanhnien.vn/chien-su-ngay-201-nghi-van-ve-nang-luc-that-su-cua-nga-sau-viec-ukraine-doat-lai-kharkiv-qua-nhanh-post1499285.html,2022
1499229.json,https://thanhnien.vn/thi-truong-gao-chau-a-te-liet-vi-an-do-han-che-xuat-khau-post1499229.html,2022
1499199.json,https://thanhnien.vn/chien-su-den-chieu-129-ukraine-gianh-lai-gan-het-kharkiv-da-den-bien-gioi-nga-post1499199.html,2022
1499189.json,https://thanhnien.vn/ong-tap-can-binh-sap-ra-nuoc-ngoai-sau-hon-2-nam-co-the-gap-ong-putin-post1499189.html,2022
1498908.json,https://thanhnien.vn/trieu-tien-vach-chi-gioi-post1498908.html,2022
1498626.json,https://thanhnien.vn/chau-au-dang-chuan-bi-gi-cho-mot-mua-dong-lanh-gia-can-ke-post1498626.html,2022
1499146.json,https://thanhnien.vn/anh-danh-gia-dong-thai-tiep-theo-cua-nga-sau-cuc-dien-moi-o-kharkiv-post1499146.html,2022
1499026.json,https://thanhnien.vn/phe-canh-huu-thuy-dien-gianh-loi-the-trong-cuoc-bau-cu-gay-can-post1499026.html,2022
1499022.json,https://thanhnien.vn/ukraine-noi-nga-thay-tuong-tu-lenh-quan-khu-mien-tay-chi-sau-17-ngay-post1499022.html,2022
1498983.json,https://thanhnien.vn/tau-trung-quoc-se-tap-nap-den-mat-trang-sau-khi-phat-hien-nguon-nang-luong-moi-post1498983.html,2022
1498985.json,https://thanhnien.vn/ro-tin-my-sap-han-che-xuat-khau-thiet-bi-ban-dan-sang-trung-quoc-post1498985.html,2022
1500230.json,https://thanhnien.vn/chien-su-ukraine-chieu-159-tinh-bao-anh-noi-quan-nga-rut-khoi-kharkiv-trong-hoang-loan-post1500230.html,2022
1500253.json,https://thanhnien.vn/chien-ham-nga-trung-quoc-tuan-tra-chung-o-thai-binh-duong-post1500253.html,2022
1499788.json,https://thanhnien.vn/cang-thang-leo-thang-tai-trung-a-post1499788.html,2022
1499945.json,https://thanhnien.vn/tong-thong-ukraine-bat-ngo-den-kharkiv-cam-ket-chien-thang-post1499945.html,2022
1499750.json,https://thanhnien.vn/kazakhstan-lai-doi-ten-thu-do-ve-ten-cu-post1499750.html,2022
